STATIONID,DATE,TMAX,TMIN
BKM00014557,2001-09,,8.88
BKM00014557,2001-10,22.52,7.99
BKM00014557,2001-11,,
BKM00014557,2001-12,,
BKM00014557,2002-01,5.4,-4.83
BKM00014557,2002-02,13.78,0.38
BKM00014557,2002-03,15.66,2.73
BKM00014557,2002-04,17.01,5.22
BKM00014557,2002-05,,10.9
BKM00014557,2002-06,,
BKM00014557,2002-07,,15.36
BKM00014557,2002-08,,
BKM00014557,2002-09,,
BKM00014557,2002-10,19.08,6.34
BKM00014557,2002-11,15.86,
BKM00014557,2003-02,2.67,-7.21
BKM00014557,2003-03,13.14,-0.21
BKM00014557,2003-04,17.57,3.83
BKM00014557,2003-05,,11.56
BKM00014557,2003-06,,15.39
BKM00014557,2003-07,29.01,14.74
BKM00014557,2003-08,,15.43
BKM00014557,2003-11,14.96,3.62
BKM00014557,2003-12,6.54,
BKM00014557,2004-01,3.68,
BKM00014557,2004-02,8.54,-1.74
BKM00014557,2004-03,12.78,0.77
BKM00014557,2004-04,,6.77
BKM00014557,2004-05,,7.45
BKM00014557,2004-08,,13.83
BKM00014557,2004-09,,9.61
BKM00014557,2004-10,,8.76
BKM00014557,2004-11,10.55,
BKM00014557,2005-01,5.97,
BKM00014557,2005-02,2.29,-6.23
BKM00014557,2005-03,11.24,-1.38
BKM00014557,2005-04,16.86,4.43
BKM00014557,2005-05,23.33,9.16
BKM00014557,2005-06,24.69,11.87
BKM00014557,2005-07,27.79,14.61
BKM00014557,2005-08,24.95,14.57
BKM00014557,2005-09,23.4,12.18
BKM00014557,2005-10,17.76,6.97
BKM00014557,2005-11,9.98,1.61
BKM00014557,2005-12,4.87,
BKM00014557,2006-02,5.41,-2.95
BKM00014557,2006-03,11.16,-0.32
BKM00014557,2006-04,18.38,
BKM00014557,2006-05,22.7,8.59
BKM00014557,2006-06,24.67,12.2
BKM00014557,2006-07,29.5,14.7
BKM00014557,2006-08,26.22,13.71
BKM00014557,2006-09,25.21,10.99
BKM00014557,2006-10,21.51,6.7
BKM00014557,2006-11,14.87,2.14
BKM00014557,2006-12,8.88,-0.31
BKM00014557,2007-01,13,
BKM00014557,2007-02,11.92,
BKM00014557,2007-03,14.49,
BKM00014557,2007-04,21.1,3.93
BKM00014557,2007-05,23.44,10.91
BKM00014557,2007-06,28.43,14.66
BKM00014557,2007-07,31.9,14.03
BKM00014557,2007-08,29.34,14.81
BKM00014557,2007-09,21.05,8.26
BKM00014557,2007-10,15.44,5.19
BKM00014557,2007-11,8.24,-0.5
BKM00014557,2007-12,2.45,
BKM00014557,2008-01,8.93,-2
BKM00014557,2008-02,11,-1.1
BKM00014557,2008-03,13.91,
BKM00014557,2008-04,18.15,6.22
BKM00014557,2008-05,24.24,8.94
BKM00014557,2008-06,,13.9
BKM00014557,2008-07,,14.54
BKM00014557,2008-08,,13.87
BKM00014557,2008-09,20.21,
BKM00014557,2008-10,20.9,
BKM00014557,2008-11,14.77,3.04
BKM00014557,2008-12,,
BKM00014557,2009-01,,
BKM00014557,2009-02,,-2.11
BKM00014557,2009-03,,2.31
BKM00014557,2009-04,,6.48
BKM00014557,2009-05,,10.47
BKM00014557,2009-06,,12.68
BKM00014557,2009-07,,14.49
BKM00014557,2009-08,,14.85
BKM00014557,2009-09,,11.3
BKM00014557,2009-10,,6.21
BKM00014557,2009-11,,3.16
BKM00014557,2009-12,,
BKM00014557,2010-01,,
BKM00014557,2010-02,,-2.32
BKM00014557,2010-03,,1.44
BKM00014557,2010-04,,5.94
BKM00014557,2010-05,,9.85
BKM00014557,2010-06,,13.49
BKM00014557,2010-07,,15.62
BKM00014557,2010-08,,14.77
BKM00014557,2010-09,,9.95
BKM00014557,2010-10,,
BKM00014557,2010-11,,4.3
BKM00014557,2010-12,,
BKM00014557,2011-01,,
BKM00014557,2011-02,,
BKM00014557,2011-03,,0.96
BKM00014557,2011-04,,
BKM00014557,2011-05,,
BKM00014557,2011-06,,
BKM00014557,2011-07,,
BKM00014557,2011-08,,
BKM00014557,2011-09,,
BKM00014557,2011-10,,
BKM00014557,2011-11,,
BKM00014557,2011-12,,
BKM00014557,2012-01,,
BKM00014557,2012-02,,
BKM00014557,2012-03,,
BKM00014557,2012-04,,
BKM00014557,2012-05,,
BKM00014557,2012-06,,
BKM00014557,2012-07,,
BKM00014557,2012-08,,
BKM00014557,2012-09,,
BKM00014557,2012-10,,
BKM00014557,2012-11,,
BKM00014557,2013-01,,
BKM00014557,2013-02,,
BKM00014557,2013-03,,
BKM00014557,2013-04,,
BKM00014557,2013-05,,
BKM00014557,2013-06,,12.96
BKM00014557,2013-07,,
BKM00014557,2013-08,,
BKM00014557,2013-09,,
BKM00014557,2013-10,,
BKM00014557,2013-11,,
BKM00014557,2013-12,,
BKM00014557,2014-01,,
BKM00014557,2014-02,,2.73
BKM00014557,2014-03,,
BKM00014557,2014-04,,
BKM00014557,2014-05,,
BKM00014557,2014-06,,
BKM00014557,2014-07,,
BKM00014557,2014-09,,11.93
BKM00014557,2014-10,,
BKM00014557,2014-11,,
BKM00014557,2014-12,,
BKM00014557,2015-01,,
BKM00014557,2015-02,,
BKM00014557,2015-04,,
BKM00014557,2015-06,,
BKM00014557,2015-07,,
BKM00014557,2015-08,31.6,
BKM00014557,2015-09,,
BKM00014557,2015-10,,
BKM00014557,2015-11,,
BKM00014557,2015-12,8.2,
BKM00014557,2016-01,,
BKM00014557,2016-03,,
BKM00014557,2016-04,,
BKM00014557,2016-09,24.72,
BKM00014557,2017-01,,
BKM00014557,2017-07,,
BKM00014557,2017-10,21.23,
BKM00014557,2017-11,12.4,
BKM00014557,2017-12,,
